Category1,Category2,Category3,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug
B,B,Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399295,467214,652928,493622,395503,640935,484784,567828,752817,504787,629830,860661,487589,606742,872305,680752,558986,783371,482243,602408,837118,568955,719525,884307,537088,581461,1034761,656711,537522,873324,567597,696651,966519,734041,1033210,1203387,740021,789692,1561952,1175055,1061389,2178598,1262138,1531666
B,B,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898751,1015422,1428897,1014045,925850,1426841,1037991,1260508,1679296,1109792,1284625,1702355,1118563,1367155,1798509,1418025,1164652,1930705,1161055,1447977,1958942,1254962,1595388,1945284,1121310,1130833,1882501,1284707,940227,1525137,1087568,1288294,1748792,1301038,1767913,2182972,1394991,1536768,2444599,1526834,1414359,2681657,1735989,2043504
B,C,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7896117,8498770,11475734,9243440,7337388,10730237,7273217,8520128,11290190,7384780,8414585,11086972,6957242,7729694,10719160,8244204,6333225,9762770,6659775,7995003,10738504,7095013,8018415,10434516,6784679,7161447,10003811,7905689,6417231,9159058,6090388,7143001,9096450,5826628,6555959,8608561,5430987,5780003,7852245,6342344,5187073,7601423,5257304,6043068
B,C,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,214,8,12,30,40,16,2,9,11,29,0,0,0,0,0,0,0,6,2,0,0,42,0,0,0,11,0,0,0,0,11,76,25,17,6,7,10,0,0,11,9,2
B,C,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7907977,8444414,11428193,8884903,6869598,9910974,6977467,8424810,11323389,7704315,7815870,10383368,7196648,7751774,11435926,7838326,5932999,8520648,6006226,7384146,9687735,6549148,6857462,9375412,6505438,6865958,9451484,6872433,5667248,7689685,5376002,6330446,7895574,5330915,5687627,7911294,3316321,3619030,4639449,3407043,2858779,4228271,3075226,3495169
B,E,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100970,97744,143300,118501,111568,213114,161765,187390,234274,156052,212079,716324,271922,244852,372017,267118,257811,380449,332324,361894,464877,338852,473871,1390416,520920,459225,584033,457315,414488,582298,477058,523305,659552,406801,519278,1703516,566186,522439,738458,528942,418548,628091,440663,494321
B,F,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321836,300930,378355,277475,249871,381398,257486,269614,312557,175437,245179,514499,215142,191709,276858,180363,159358,254255,186621,202482,223090,118363,149880,340314,153704,145691,178671,127087,119258,157215,97525,122808,154146,85449,116706,241108,115821,108286,150590,107079,79159,144956,81715,92132
B,F,S,372147,1488589,1381192,1764740,1393802,1199296,1662262,1295515,1475063,1650282,1185005,1437170,2236357,1439186,1387585,1869685,1437516,1172870,1800065,1271418,1444189,1893457,1275199,1480178,3040084,1579519,1538100,2064249,1596638,1354425,2107917,1558224,1746089,2244871,1484219,1840043,3742965,1997524,1776251,2464350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,F,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166006,162031,189842,141050,163927,218846,160561,173199,180591,142860,189680,504862,139704,128778,177941,119355,121445,157096,127737,125756,153508,86101,112218,356397,109009,96059,104126,72278,73397,100468,98829,80302,85220,58540,81223,262857,70344,64963,88914,78471,70060,90890,57886,55664
B,G,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919783,1000024,1410944,1049533,894806,1356896,976269,1125643,1473959,943409,1088480,1373721,834329,984656,1368709,1125673,909733,1402336,905530,1082997,1370821,874180,1069146,1373539,873454,881711,1387490,1054931,820497,1270492,787701,870434,1144489,753494,885341,1094676,689098,726196,1305747,894047,703065,1450752,845780,982195
